Record Number,Type,Address,Date Opened,Status
PPA23-0303,Planning Pre-Application,"624 E GRANADA CT, Ontario CA 91764",8/2/2023,Withdrawn
PPA23-0302,Planning Pre-Application,"3433 Archibald, Ontario CA United States",8/2/2023,Resubmittal Required
23TMP-002957,Planning Pre-Application,"635 W MAIN ST, ONTARIO CA 91762",8/1/2023,
PSGN23-095,Sign Permit,"1891 E G ST, ONTARIO CA 91764",8/1/2023,Approved Final
PPA23-0301,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 3, ONTARIO CA 91761",8/1/2023,Complete
PPA23-0300,Planning Pre-Application,"316 W B ST, ONTARIO CA 91762",8/1/2023,Complete
PPA23-0299,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 4, ONTARIO CA 91761",8/1/2023,Complete
PPA23-0298,Planning Pre-Application,"1150 W FOURTH ST, Ontario CA 91762",8/1/2023,Complete
PPA23-0297,Planning Pre-Application,"3999 E INLAND EMPIRE BL, ONTARIO CA 91764",8/1/2023,Complete
PPA23-0296,Planning Pre-Application,"1377 N Mountain AV, SUITE, ONTARIO CA 91762",8/1/2023,Complete
PSGN23-094,Sign Permit,"1845 E HOLT BL, SUITE B, ONTARIO CA 91761",7/31/2023,Approved Final
PSGN23-093,Sign Permit,"2502 S EUCLID AV, SUITE A, ONTARIO CA 91762",7/31/2023,Approved Final
PPA23-0295,Planning Pre-Application,"1316 N LAKE AV, ONTARIO CA 91764",7/31/2023,Withdrawn
PPA23-0294,Planning Pre-Application,"2131 E CONVENTION CENTER WY, ONTARIO CA 91761",7/31/2023,Complete
PSGN23-092,Sign Permit,"847 S WANAMAKER AV, ONTARIO CA 91761",7/28/2023,Approved Final
PCUP23-010,Conditional Use Permit,"1900 E INLAND EMPIRE BL, ONTARIO CA 91764",7/28/2023,Under Review
PPA23-0293,Planning Pre-Application,"1734 S MIRAMONTE AV, ONTARIO CA 91761",7/28/2023,Withdrawn
PPA23-0292,Planning Pre-Application,"413 W EMPORIA ST, ONTARIO CA 91762",7/28/2023,Complete
PPA23-0291,Planning Pre-Application,"3680 E GUASTI RD, ONTARIO CA 91761",7/27/2023,Complete
23TMP-002744,Planning Pre-Application,"4707 S Baker AV, BLDG, Ontario CA United States",7/26/2023,
PDEV23-023,Development Plan,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",7/26/2023,Under Review
PPA23-0290,Planning Pre-Application,"1194 E HOLT BL, ONTARIO CA 91761",7/26/2023,Complete
PPA23-0289,Planning Pre-Application,"1891 E G ST, ONTARIO CA 91764",7/26/2023,Complete
PVER23-033,Zoning Verification Letter,"760 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",7/25/2023,Under Review
PTUP23-084,Temporary Use Permit,"1528 W HOLT BL, ONTARIO CA 91762",7/25/2023,Approved
PSGP23-004,Sign Program,"4900 S SULTANA AV, Ontario CA 91762",7/25/2023,Approved Final
PTUP23-083,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",7/24/2023,Active
PTUP23-082,Temporary Use Permit,"3460 E ONTARIO RANCH RD, ONTARIO CA 91761",7/24/2023,Under Review
PSGN23-091,Sign Permit,"1105 N MOUNTAIN AV, ONTARIO CA 91762",7/24/2023,Approved Final
PPA23-0288,Planning Pre-Application,"1528 W HOLT BL, ONTARIO CA 91762",7/24/2023,Complete
PTUP23-081,Temporary Use Permit,"1150 W FOURTH ST, ONTARIO CA 91762",7/21/2023,Withdrawn
PSGN23-090,Sign Permit,"9279 EUCALYPTUS AV, ONTARIO CA 91762",7/21/2023,Approved Final
PPA23-0287,Planning Pre-Application,"1902 S VINE AV, ONTARIO CA 91762",7/21/2023,Withdrawn
PPA23-0286,Planning Pre-Application,"301 S ROCKEFELLER AV, ONTARIO CA 91761",7/21/2023,Complete
PPA23-0285,Planning Pre-Application,"321 S SAN ANTONIO AV, Ontario CA 91762",7/20/2023,Complete
PVER23-032,Zoning Verification Letter,,7/19/2023,Under Review
PSGN23-089,Sign Permit,"1921 S BUSINESS PW, ONTARIO CA 91761",7/19/2023,Approved Final
PPA23-0284,Planning Pre-Application,"1 E MILLS CI, SUITE FC1, ONTARIO CA 91764",7/19/2023,Withdrawn
PPA23-0283,Planning Pre-Application,"4900 S SULTANA AV, Ontario CA 91762",7/19/2023,Complete
PTUP23-080,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",7/18/2023,Approved
PHP-23-009,Historical Preservation,"726 E H ST, ONTARIO CA 91764",7/18/2023,Approved Final
PSGN23-088,Sign Permit,"701 N MILLIKEN AV, SUITE D, ONTARIO CA 91764",7/18/2023,Approved Final
PPA23-0282,Planning Pre-Application,"726 E H ST, ONTARIO CA 91764",7/18/2023,Complete
PPA23-0281,Planning Pre-Application,"760 S MILLIKEN AV, BLDG 1, ONTARIO CA 91761",7/18/2023,Complete
PPA23-0280,Planning Pre-Application,"720 S MILLIKEN AV, SUITE H, ONTARIO CA 91761",7/18/2023,Complete
PPA23-0279,Planning Pre-Application,"5401 E JURUPA ST, ONTARIO CA 91761",7/18/2023,Complete
PPA23-0278,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 3, ONTARIO CA 91761",7/17/2023,Resubmittal Required
PPA23-0277,Planning Pre-Application,"2100 E INLAND EMPIRE BL, ONTARIO CA 91764",7/17/2023,Complete
PSGN23-087,Sign Permit,"1201 S SULTANA AV, ONTARIO CA 91761",7/14/2023,Approved Final
PPA23-0276,Planning Pre-Application,"1150 W FOURTH ST, ONTARIO CA 91762",7/14/2023,Complete
PTUP23-079,Temporary Use Permit,"225 E C ST, ONTARIO CA 91761",7/13/2023,Active
PTUP23-078,Temporary Use Permit,"1 E MILLS CI, SUITE 100, ONTARIO CA 91764",7/13/2023,Approved
PPA23-0275,Planning Pre-Application,"9279 EUCALYPTUS AV, ONTARIO CA 91762",7/13/2023,Complete
PTUP23-077,Temporary Use Permit,"704 E E ST, ONTARIO CA 91764",7/12/2023,Approved
PTUP23-076,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",7/12/2023,Active
PGPA23-001,General Plan Amendment,,7/12/2023,Active
PDEV23-022,Development Plan,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",7/12/2023,Approved Final
PPA23-0274,Planning Pre-Application,"2100 E INLAND EMPIRE BL, ONTARIO CA 91764",7/12/2023,Withdrawn
PDA-23-004,Development Agreement,"13813 S EUCLID AV, ONTARIO CA 91761",7/11/2023,Approved Final
PPA23-0273,Planning Pre-Application,"1050 E HOLT BL, ONTARIO CA 91761",7/11/2023,Withdrawn
PSGN23-085,Sign Permit,"4275 E CONCOURS ST, SUITE 120, ONTARIO CA 91764",7/10/2023,Approved Final
PSGN23-086,Sign Permit,"609 E HOLT BL, BLDG 1, ONTARIO CA 91761",7/10/2023,Approved Final
PPA23-0272,Planning Pre-Application,"2545 S GOLDCREST PL, ONTARIO CA 91761",7/8/2023,Withdrawn
PTUP23-075,Temporary Use Permit,"316 W B ST, ONTARIO CA 91762",7/7/2023,Approved
PPA23-0271,Planning Pre-Application,"4275 E CONCOURS ST, SUITE 120, ONTARIO CA 91764",7/7/2023,Complete
PTUP23-074,Temporary Use Permit,"1150 W FOURTH ST, ONTARIO CA 91762",7/6/2023,Approved
PHP-23-008,Historical Preservation,"825 N EUCLID AV, ONTARIO CA 91762",7/6/2023,Under Review
PSGN23-084,Sign Permit,"735 N MILLIKEN AV, SUITE D, ONTARIO CA 91764",7/6/2023,Approved Final
PSGN23-083,Sign Permit,"2528 S GROVE AV, ONTARIO CA 91761",7/6/2023,Approved Final
PDEV23-021,Development Plan,"1248 W HOLT BL, BLDG 1, ONTARIO CA 91762",7/6/2023,Scheduled for DAB Hearing
PPA23-0270,Planning Pre-Application,"990 N ONTARIO MILLS DR, SUITE E, ONTARIO CA 91764",7/6/2023,Withdrawn
PDEV23-020,Development Plan,"2713 S GROVE AV, Ontario CA 91761",7/5/2023,Approved Final
PDEV23-019,Development Plan,"1389 E HOLT BL, ONTARIO CA 91761",7/5/2023,Under Review
PPA23-0269,Planning Pre-Application,"3791 S ARCHIBALD AV, ONTARIO CA 91761",7/5/2023,Resubmittal Required
PPA23-0268,Planning Pre-Application,"4880 E MOTOR LN, Ontario CA 91761",7/5/2023,Complete
PPA23-0267,Planning Pre-Application,"2200 E HOLT BL, ONTARIO CA 91761",7/5/2023,Withdrawn
PUD-23-003,Planning Unit Development,"1389 E HOLT BL, ONTARIO CA 91761",7/5/2023,Under Review
PUD-23-002,Planning Unit Development,"0 E D ST, Ontario CA 91764",7/5/2023,Approved Final
PHP-23-007,Historical Preservation,"311 W H ST, ONTARIO CA 91762",7/3/2023,Under Review
PPA23-0266,Planning Pre-Application,"735 N MILLIKEN AV, SUITE C, ONTARIO CA 91764",7/2/2023,Withdrawn
PPA23-0265,Planning Pre-Application,"735 N MILLIKEN AV, SUITE D, ONTARIO CA 91764",7/2/2023,Complete
PVAR23-003,Variance,"935 S ELDERBERRY AV, ONTARIO CA 91762",6/29/2023,Approved Final
PUD-23-001,Planning Unit Development,"111 N MONTEREY AV, ONTARIO CA 91761",6/29/2023,Under Review
PDEV23-018,Development Plan,"111 N MONTEREY AV, ONTARIO CA 91761",6/29/2023,Under Review
PDET23-004,Determination of Use,"3000 E PHILADELPHIA ST, ONTARIO CA 91761",6/29/2023,Withdrawn
PDET23-003,Determination of Use,"5491 E FRANCIS ST, ONTARIO CA 91761",6/29/2023,Withdrawn
PDET23-002,Determination of Use,"3625 E JURUPA ST, Ontario CA 91761",6/29/2023,Withdrawn
PPA23-0264,Planning Pre-Application,"3000 E PHILADELPHIA ST, ONTARIO CA 91761",6/28/2023,Complete
PPA23-0263,Planning Pre-Application,"5491 E FRANCIS ST, ONTARIO CA 91761",6/28/2023,Complete
PPA23-0262,Planning Pre-Application,"3625 E JURUPA ST, Ontario CA 91761",6/28/2023,Complete
PPA23-0261,Planning Pre-Application,"956 N EUCLID AV, ONTARIO CA 91764",6/28/2023,Withdrawn
23TMP-001709,Planning Pre-Application,,6/27/2023,
PVER23-031,Zoning Verification Letter,"4150 E CONCOURS ST, SUITE 100, ONTARIO CA 91764",6/27/2023,Under Review
PSGN23-082,Sign Permit,"1890 E G ST, BLDG 1, Ontario CA 91764",6/27/2023,Approved Final
PSGN23-081,Sign Permit,"2403 S VINEYARD AV, SUITE D, ONTARIO CA 91761",6/27/2023,Approved Final
PPA23-0260,Planning Pre-Application,"1240 W HOLT BL, BLDG 1, Ontario CA 91762",6/27/2023,Complete
PPA23-0259,Planning Pre-Application,"4325 E GUASTI RD, BLDG 1, ONTARIO CA 91761",6/27/2023,Complete
PTUP23-073,Temporary Use Permit,"217 S LEMON AV, BLDG 2, ONTARIO CA 91761",6/26/2023,Approved
PPA23-0258,Planning Pre-Application,"990 N ONTARIO MILLS DR, SUITE E, ONTARIO CA 91764",6/26/2023,Withdrawn
PPA23-0257,Planning Pre-Application,"1900 E INLAND EMPIRE BL, ONTARIO CA 91764",6/26/2023,Complete
PPA23-0256,Planning Pre-Application,"1900 INLAND EMPIRE BL, UNIT A, ONTARIO CA 91764",6/26/2023,Withdrawn
PPA23-0255,Planning Pre-Application,"1555 N DAHLIA CT, ONTARIO CA 91762",6/26/2023,Withdrawn
PPA23-0254,Planning Pre-Application,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",6/26/2023,Complete
PPA23-0254,Planning Pre-Application,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",6/26/2023,Complete
PPA23-0253,Planning Pre-Application,"4150 E CONCOURS ST, SUITE 100, ONTARIO CA 91764",6/26/2023,Complete
23TMP-001677,Planning Pre-Application,"701 N MILLIKEN AV, SUITE C, ONTARIO CA 91764",6/23/2023,
PPRE23-004,Preliminary Review,"0 E RIVERSIDE DR, ONTARIO CA 91761",6/23/2023,Active
PSGN23-080,Sign Permit,"1335 E FOURTH ST, SUITE A, ONTARIO CA 91764",6/23/2023,Approved Final
PPA23-0252,Planning Pre-Application,"935 S ELDERBERRY AV, ONTARIO CA 91762",6/23/2023,Complete
PPA23-0251,Planning Pre-Application,"1890 E G ST, BLDG 1, Ontario CA 91764",6/22/2023,Complete
PTUP23-072,Temporary Use Permit,"415 N EUCLID AV, BLDG 1, ONTARIO CA 91762",6/21/2023,Withdrawn
PTUP23-071,Temporary Use Permit,"0 S OAKS AV, BLDG 1, ONTARIO CA 91762",6/20/2023,Active
PPA23-0250,Planning Pre-Application,"1100 W HOLT BL, ONTARIO CA 91762",6/20/2023,Complete
PVER23-030,Zoning Verification Letter,"1825 S GROVE AV, ONTARIO CA 91761",6/19/2023,Approved
PTUP23-070,Temporary Use Permit,"2150 S ARCHIBALD AV, ONTARIO CA 91761",6/19/2023,Approved
PPA23-0249,Planning Pre-Application,"1335 E FOURTH ST, SUITE A, ONTARIO CA 91764",6/19/2023,Complete
PPA23-0248,Planning Pre-Application,"1483 E COTTONWOOD ST, ONTARIO CA 91761",6/19/2023,Withdrawn
PPA23-0247,Planning Pre-Application,"0 E RIVERSIDE DR, ONTARIO CA 91761",6/16/2023,Complete
PPA23-0246,Planning Pre-Application,"2645 E RIVERSIDE DR, ONTARIO CA 91761",6/16/2023,Complete
23TMP-001561,Planning Pre-Application,"1555 S CUCAMONGA AV, BLDG 2, ONTARIO CA 91761",6/15/2023,
PSGN23-079,Sign Permit,"5200 E SHEA CENTER DR, SUITE A, Ontario CA 91761",6/15/2023,Approved Final
PPA23-0245,Planning Pre-Application,"1555 S CUCAMONGA AV, BLDG 2, ONTARIO CA 91761",6/15/2023,Complete
PPRE23-003,Preliminary Review,"1275 S DUPONT AV, ONTARIO CA 91761",6/14/2023,Active
PHP-23-006,Historical Preservation,"541 E LYNN HAVEN CT, ONTARIO CA 91761",6/14/2023,Under Review
PDEV23-017,Development Plan,"0 E D ST, Ontario CA 91764",6/14/2023,Approved Final
PCUP23-009,Conditional Use Permit,"4282 E ONTARIO RANCH RD, ONTARIO CA 91762",6/14/2023,Under Review
PPA23-0244,Planning Pre-Application,"316 W B ST, ONTARIO CA 91762",6/14/2023,Complete
PPA23-0243,Planning Pre-Application,"2148 E ALONDRA ST, ONTARIO CA 91764",6/14/2023,Withdrawn
PPA23-0242,Planning Pre-Application,"1720 S MOUNTAIN AV, SUITE D, ONTARIO CA 91762",6/14/2023,Withdrawn
PPA23-0241,Planning Pre-Application,"5200 E SHEA CENTER DR, SUITE A, Ontario CA 91761",6/14/2023,Complete
PVER23-029,Zoning Verification Letter,"5491 E PHILADELPHIA ST, ONTARIO CA 91761",6/13/2023,Under Review
PVER23-028,Zoning Verification Letter,"5691 E PHILADELPHIA ST, ONTARIO CA 91761",6/13/2023,Under Review
PVER23-027,Zoning Verification Letter,"2090 S ETIWANDA AV, SUITE A, ONTARIO CA 91761",6/13/2023,Under Review
PPA23-0240,Planning Pre-Application,"541 E LYNN HAVEN CT, ONTARIO CA 91761",6/13/2023,Complete
PTUP23-069,Temporary Use Permit,"1405 S FERN AV, ONTARIO CA 91762",6/12/2023,Approved
PTUP23-068,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",6/12/2023,Approved
23TMP-001488,Planning Pre-Application,,6/11/2023,
PVER23-026,Zoning Verification Letter,"13832 S MILLIKEN AV, ONTARIO CA 91762",6/9/2023,Active
PTUP23-067,Temporary Use Permit,"1150 W FOURTH ST, ONTARIO CA 91762",6/9/2023,Approved
PPA23-0239,Planning Pre-Application,"111 N MONTEREY AV, ONTARIO CA 91761",6/9/2023,Complete
PPA23-0238,Planning Pre-Application,"0 %, Ontario CA United States",6/9/2023,Complete
PPA23-0237,Planning Pre-Application,"5491 E PHILADELPHIA ST, ONTARIO CA 91761",6/9/2023,Complete
PPA23-0236,Planning Pre-Application,"5691 E PHILADELPHIA ST, ONTARIO CA 91761",6/9/2023,Complete
PPA23-0235,Planning Pre-Application,"2090 S ETIWANDA AV, SUITE A, ONTARIO CA 91761",6/9/2023,Complete
PPA23-0234,Planning Pre-Application,"3460 E ONTARIO RANCH RD, ONTARIO CA 91761",6/9/2023,Complete
PSGN23-078,Sign Permit,"4265 E GUASTI RD, Ontario CA 91761",6/8/2023,Approved Final
PPA23-0233,Planning Pre-Application,"4282 E ONTARIO RANCH RD, ONTARIO CA 91762",6/8/2023,Complete
PPA23-0232,Planning Pre-Application,"2560 S WOODLARK DR, Ontario CA 91761",6/8/2023,Withdrawn
PTUP23-066,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",6/7/2023,Approved
PTUP23-065,Temporary Use Permit,"2455 E RIVERSIDE DR, BLDG 1, ONTARIO CA 91761",6/7/2023,Approved
PTUP23-064,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",6/7/2023,Approved
PPRE23-002,Preliminary Review,"1355 W FIFTH ST, BLDG 1, ONTARIO CA 91762",6/6/2023,Under Review
PHP-23-005,Historical Preservation,,6/6/2023,Approved Final
PDEV23-016,Development Plan,"0 S OLD ARCHIBALD RANCH RD, Ontario CA 91761",6/6/2023,Approved Final
PPA23-0231,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",6/6/2023,Complete
PSGN23-077,Sign Permit,"929 N MILLIKEN AV, SUITE 103, Ontario CA 91764",6/5/2023,Approved Final
PSGN23-076,Sign Permit,"3257 E GUASTI RD, ONTARIO CA 91761",6/5/2023,Approved Final
PSGN23-075,Sign Permit,"0 S HAVEN AV, ONTARIO CA 91761",6/5/2023,Approved Final
PDEV23-015,Development Plan,"1945 E MERRILL AV, ONTARIO CA 91762",6/5/2023,Approved Final
PDEV23-014,Development Plan,"1050 E BELMONT ST, ONTARIO CA 91761",6/5/2023,Approved
PADV23-004,Advance Planning,"233 N EUCLID AV, ONTARIO CA 91762",6/5/2023,Under Review
PPA23-0230,Planning Pre-Application,"604 W PRINCETON ST, ONTARIO CA 91762",6/5/2023,Withdrawn
PPA23-0229,Planning Pre-Application,"415 N HUMBOLDT PL, ONTARIO CA 91764",6/5/2023,Withdrawn
PPA23-0228,Planning Pre-Application,"1758 S MONTEREY AV, ONTARIO CA 91761",6/5/2023,Withdrawn
PPA23-0227,Planning Pre-Application,"3206 E CANARY CT, ONTARIO CA 91761",6/5/2023,Withdrawn
PPA23-0226,Planning Pre-Application,"914 W BERKELEY CT, ONTARIO CA 91762",6/5/2023,Withdrawn
PPA23-0225,Planning Pre-Application,"1233 E CAROLINE CT, ONTARIO CA 91764",6/5/2023,Withdrawn
PPA23-0224,Planning Pre-Application,"2916 S DEL NORTE PL, ONTARIO CA 91761",6/5/2023,Withdrawn
PPA23-0223,Planning Pre-Application,"748 N LA PALOMA AV, ONTARIO CA 91764",6/5/2023,Withdrawn
PPA23-0222,Planning Pre-Application,"1127 S BON VIEW AV, ONTARIO CA 91761",6/5/2023,Withdrawn
PPA23-0221,Planning Pre-Application,"833 E TAM O'SHANTER ST, ONTARIO CA 91761",6/3/2023,Withdrawn
PPA23-0220,Planning Pre-Application,"4853 S PRINCE WY, ONTARIO CA 91762",6/3/2023,Withdrawn
23TMP-001393,Planning Pre-Application,"1236 S Vine AV, BLDG, Ontario CA United States",6/2/2023,
PDA-23-003,Development Agreement,"13990 S ARCHIBALD AV, ONTARIO CA 91761",6/2/2023,Approved
PPA23-0219,Planning Pre-Application,"1758 S MONTEREY AV, ONTARIO CA 91761",6/2/2023,Withdrawn
PPA23-0218,Planning Pre-Application,"1758 S MONTEREY AV, ONTARIO CA 91761",6/2/2023,Withdrawn
PPA23-0217,Planning Pre-Application,"1275 S DUPONT AV, ONTARIO CA 91761",6/2/2023,Complete
PPA23-0216,Planning Pre-Application,"13990 S ARCHIBALD AV, ONTARIO CA 91761",6/2/2023,Complete
PPA23-0215,Planning Pre-Application,"233 N EUCLID AV, ONTARIO CA 91762",6/1/2023,Complete
23TMP-001346,Planning Pre-Application,"2151 S FERN AV, ONTARIO CA 91762",5/31/2023,
PPA23-0214,Planning Pre-Application,"929 N MILLIKEN AV, SUITE 103, Ontario CA 91764",5/31/2023,Complete
23TMP-001333,Planning Pre-Application,,5/30/2023,
PTUP23-063,Temporary Use Permit,"1 E MILLS CI, SUITE 100, ONTARIO CA 91764",5/30/2023,Active
PTUP23-062,Temporary Use Permit,"4980 S CELEBRATION AV, ONTARIO CA 91762",5/30/2023,Approved
PPA23-0213,Planning Pre-Application,"0 S OLD ARCHIBALD RANCH RD, Ontario CA 91761",5/30/2023,Complete
PPA23-0212,Planning Pre-Application,"2055 S FERN AV, ONTARIO CA 91762",5/30/2023,Withdrawn
PPA23-0211,Planning Pre-Application,"0 E MERRILL AV, ONTARIO CA 91762",5/30/2023,Complete
23TMP-001327,Planning Pre-Application,"328 W BONNIE BRAE CT, ONTARIO CA 91762",5/29/2023,
23TMP-001324,Planning Pre-Application,Ontario CA United States,5/26/2023,
PVER23-025,Zoning Verification Letter,"4422 E AIRPORT DR, SUITE A, ONTARIO CA 91761",5/26/2023,Active
PPRE23-001,Preliminary Review,"1300 S CAMPUS AV, ONTARIO CA 91761",5/26/2023,Active
PPA23-0210,Planning Pre-Application,"2148 E ALONDRA ST, ONTARIO CA 91764",5/26/2023,Withdrawn
PPA23-0209,Planning Pre-Application,"1017 E ORCHARD LN, ONTARIO CA 91764",5/25/2023,Withdrawn
PPA23-0208,Planning Pre-Application,"3921 S MONDAVI WY, ONTARIO CA 91761",5/24/2023,Withdrawn
PPA23-0207,Planning Pre-Application,"0 E D ST, Ontario CA 91764",5/24/2023,Complete
PPA23-0206,Planning Pre-Application,"2500 E AIRPORT DR, BLDG T2, ONTARIO CA 91761",5/24/2023,Withdrawn
PPA23-0205,Planning Pre-Application,"610 E FRANCIS ST, BLDG 1, ONTARIO CA 91761",5/24/2023,Withdrawn
PSGP23-003,Sign Program,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",5/23/2023,Withdrawn
PSGN23-074,Sign Permit,"848 S MOUNTAIN AV, ONTARIO CA 91762",5/23/2023,Approved Final
PSGN23-073,Sign Permit,"2645 E RIVERSIDE DR, ONTARIO CA 91761",5/23/2023,Approved Final
PPA23-0204,Planning Pre-Application,"1456 N GROVE AV, ONTARIO CA 91764",5/23/2023,Complete
PSGN23-072,Sign Permit,"4321 E ONTARIO MILLS PW, ONTARIO CA 91764",5/23/2023,Approved Final
PSGN23-071,Sign Permit,"1102 W PHILLIPS ST, ONTARIO CA 91762",5/22/2023,Approved Final
PADV23-003,Advance Planning,"3519 E CONCOURS ST, ONTARIO CA 91764",5/19/2023,Active
PADV23-002,Advance Planning,"3519 E CONCOURS ST, ONTARIO CA 91764",5/19/2023,Active
PPA23-0203,Planning Pre-Application,"670 N ARCHIBALD AV, BLDG 2, Ontario CA 91764",5/18/2023,Withdrawn
PPA23-0202,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",5/18/2023,Resubmittal Required
PPA23-0201,Planning Pre-Application,"2314 S MOUNTAIN AV, ONTARIO CA 91762",5/17/2023,Withdrawn
23TMP-001214,Planning Pre-Application,,5/16/2023,
PVER23-024,Zoning Verification Letter,"1312 W BROOKS ST, ONTARIO CA 91762",5/16/2023,Withdrawn
PTUP23-061,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",5/16/2023,Approved
PPA23-0200,Planning Pre-Application,"542 W RALSTON ST, ONTARIO CA 91762",5/16/2023,Withdrawn
PPA23-0199,Planning Pre-Application,"2849 E CLYDESDALE ST, ONTARIO CA 91761",5/16/2023,Withdrawn
23TMP-001195,Planning Pre-Application,"2900 E JURUPA ST, SUITE B, ONTARIO CA 91761",5/15/2023,
23TMP-001189,Planning Pre-Application,"517 E HOLT BL, ONTARIO CA 91764",5/15/2023,
PPA23-0198,Planning Pre-Application,"2019 S BUSINESS PW, Ontario CA 91761",5/15/2023,Withdrawn
PPA23-0197,Planning Pre-Application,"4675 E MILLS CI N, BLDG 2, ONTARIO CA 91764",5/15/2023,Resubmittal Required
PPA23-0196,Planning Pre-Application,"0 S HAVEN AV, ONTARIO CA 91761",5/15/2023,Complete
PPA23-0195,Planning Pre-Application,"304 E SIXTH ST, ONTARIO CA 91764",5/14/2023,Withdrawn
PPA23-0194,Planning Pre-Application,"2614 S EEL RIVER PL, ONTARIO CA 91761",5/13/2023,Resubmittal Required
PSGN23-070,Sign Permit,"2131 CONVENTION CENTER WY, a, Ontario CA 91761",5/12/2023,Approved Final
PDEV23-013,Development Plan,"0 S HAVEN AV, ONTARIO CA 91761",5/12/2023,Under Review
PPA23-0193,Planning Pre-Application,"1017 E ORCHARD LN, ONTARIO CA 91764",5/12/2023,Withdrawn
PPA23-0192,Planning Pre-Application,"4265 E GUASTI RD, Ontario CA 91761",5/12/2023,Complete
PPA23-0191,Planning Pre-Application,"933 E GRANADA CT, ONTARIO CA 91764",5/12/2023,Withdrawn
PTUP23-060,Temporary Use Permit,"0 Ontario Ranch Road, Ontario CA United States",5/11/2023,Active
PSGN23-069,Sign Permit,"2448 S VINEYARD AV, SUITE 103, ONTARIO CA 91761",5/11/2023,Approved Final
PSGN23-068,Sign Permit,"0 Ontario Ranch Road, Ontario CA United States",5/11/2023,Under Review
PPA23-0190,Planning Pre-Application,"2131 CONVENTION CENTER WY, a, Ontario CA 91761",5/11/2023,Complete
PPA23-0189,Planning Pre-Application,"9456 E SCHAEFER AV, ONTARIO CA 91761",5/11/2023,Resubmittal Required
PPA23-0188,Planning Pre-Application,"2713 S GROVE AV, Ontario CA 91761",5/11/2023,Complete
23TMP-001135,Planning Pre-Application,"1447 S FER AV, UNIT, Ontario CA United States",5/10/2023,
PSGN23-067,Sign Permit,"1820 E G ST, ONTARIO CA 91764",5/10/2023,Approved Final
PPA23-0187,Planning Pre-Application,"1733 E HARVARD PL, Ontario CA 91764",5/10/2023,Withdrawn
PPA23-0186,Planning Pre-Application,"5540 E FOURTH ST, BLDG 1, ONTARIO CA 91764",5/10/2023,Withdrawn
PTUP23-059,Temporary Use Permit,"1201 S AUTO CENTER DR, ONTARIO CA 91761",5/9/2023,Active
PTUP23-058,Temporary Use Permit,"1201 S AUTO CENTER DR, ONTARIO CA 91761",5/9/2023,Active
PTUP23-057,Temporary Use Permit,"2455 E RIVERSIDE DR, BLDG 1, ONTARIO CA 91761",5/9/2023,Approved
PTUP23-056,Temporary Use Permit,"275 N LEMON AV, ONTARIO CA 91761",5/9/2023,Approved
PTUP23-055,Temporary Use Permit,"275 N LEMON AV, ONTARIO CA 91761",5/9/2023,Approved
PTUP23-054,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",5/9/2023,Approved
PPA23-0185,Planning Pre-Application,"730 N MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",5/9/2023,Withdrawn
PPA23-0184,Planning Pre-Application,"2425 S ACORN PL, ONTARIO CA 91761",5/9/2023,Withdrawn
PPA23-0183,Planning Pre-Application,"2645 E RIVERSIDE DR, ONTARIO CA 91761",5/9/2023,Complete
PVER23-023,Zoning Verification Letter,"2272 E INLAND EMPIRE BL, ONTARIO CA 91764",5/8/2023,Active
PTUP23-053,Temporary Use Permit,"1211 E I ST, BLDG 2, ONTARIO CA 91764",5/8/2023,Active
PTUP23-052,Temporary Use Permit,"2200 E PHILADELPHIA ST, BLDG 2, ONTARIO CA 91761",5/8/2023,Under Review
PTUP23-051,Temporary Use Permit,"2200 E PHILADELPHIA ST, BLDG 2, ONTARIO CA 91761",5/8/2023,Approved
PSGN23-066,Sign Permit,"800 N HAVEN AV, SUITE 220, ONTARIO CA 91764",5/8/2023,Active
PCUP23-008,Conditional Use Permit,"761 N ARCHIBALD AV, SUITE B, Ontario CA 91764",5/8/2023,Under Review
PPA23-0182,Planning Pre-Application,"609 E HOLT BL, BLDG 1, ONTARIO CA 91761",5/8/2023,Complete
